Case Number,Case Type,Law Firm,Date,Status,Reference Number,View Options
2023/349351,Commercial Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-10-2023,The Application Has Been Executed,"2023/1476 Objection, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/349204,Order on Travel Ban,سهاد الجبوري للمحاماة والإستشارات القانونية,13-10-2023,The Application Has Been Executed,2023/1491 Order on Travel Ban,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/348310,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/10/2023,Case Filed,"2023/776 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/346613,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/10/2023,Case Filed,"2023/771 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/346494,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/10/2023,Case Filed,"2023/770 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/346198,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/10/2023,The Application Has Been Executed,2023/10482 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/344628,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/10/2023,Case Filed,"2023/925 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/344540,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/10/2023,Case Filed,"2023/921 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/343450,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/10/2023,Case Filed,"2023/754 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/342937,Muslims estates case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/10/2023,Case Filed,2023/1204 Inheritance of Muslims,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/342893,"Petition for review, real estate, appeal case filing",سهاد الجبوري للمحاماة والإستشارات القانونية,9/10/2023,The Application Has Been Executed,"2023/13 Petition for review, real estate, appeal","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/342113,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/10/2023,The Application Has Been Executed,2023/1259 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/341817,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/10/2023,Case Filed,"2023/755 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/339123,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/10/2023,Case Filed,"2023/752 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/339020,Personal status / appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/10/2023,Case Filed,"2023/434 Objection, personal status","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/338784,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/10/2023,Case Filed,"2023/916 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/338514,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/10/2023,Case Filed,"2023/914 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/338407,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/10/2023,Case Filed,"2023/6186 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/337402,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/10/2023,The Application Has Been Executed,2023/1225 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/336497,Civil execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/10/2023,Case Filed,"2023/2580 Execution, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/335856,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/10/2023,Case Filed,"2023/892 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/335834,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/10/2023,The Application Has Been Executed,2023/1488 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/334879,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/10/2023,Case Filed,"2023/893 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
